METADATA
level_id	4
level_title	Mutual Exclusion
goal_string	Each arrow delivers the package twice
goal_struct	{"desired":[],"required":[{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1001},{"id":3001,"condition":"eq","value":2,"property":"delivered","type":"delivery","thread_id":1002}]}
player_palette	{"colors":{"count":2},"semaphore":{"count":-1},"signal":{"count":-1},"painter":{"count":0}}
time_pickup_min	0
time_delivery_min	1
time_exchange_min	0
time_pickup_max	0
time_delivery_max	3
time_exchange_max	0
board_width	8
board_height	8

LAYOUT
FEEGEEEC
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
J--J---J
LEEMEEEI

COLORS
!!!#""""
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!--#---"
!!!#""""

DIRECTIONS
>>>V<<<<
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A  V   A
A<<X>>>A

COMPONENTS
9037	signal	5	7	P	E	{"passed":0,"color":0,"link":9036}
9036	semaphore	2	0	P	E	{"passed":0,"stopped":0,"color":0,"value":1}
9035	signal	1	7	P	E	{"passed":0,"color":0,"link":9033}
9033	semaphore	5	0	P	E	{"passed":0,"stopped":0,"color":0,"value":0}
1001	thread	0	0	S	L	{"initial_direction":"East","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"East","picked":0,"color":1,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
1002	thread	7	0	S	L	{"initial_direction":"West","time_pickup_max":-1,"delivered":0,"time_delivery_min":-1,"passed":0,"time_delivery_max":-1,"time_pickup_min":-1,"direction":"West","picked":0,"color":2,"capacity":-1,"delay":0,"time_exchange_min":-1,"missed":0,"time_exchange_max":-1}
2001	pickup	3	1	S	L	{"picked":0,"passed":0,"color":1,"type":"Unconditional"}
3001	delivery	3	6	S	L	{"accepted_colors":[],"delivered":0,"accepted_types":["Unconditional"],"passed":0,"color":0,"denominator":4,"strict":0,"consumer":-1,"missed":0}
4001	intersection	3	0	S	L	{"directions":["South","South","South","South","South","South"],"passed":0,"color":0}
4002	intersection	3	7	S	L	{"directions":["West","West","East","West","East","East"],"passed":0,"color":0}

EXECUTION
S	70	1002	3	7	{"speed":0.0}
M	0	1001	0	0	
M	0	1002	7	0	
M	1	1002	6	0	
M	2	1001	1	0	
M	3	1001	2	0	
M	4	1001	3	0	
M	5	1001	3	1	
M	6	1001	3	2	
M	10	1001	3	6	
M	11	1001	3	7	
M	13	1001	1	7	
M	14	1001	0	7	
M	21	1001	0	0	
M	15	1002	5	0	
M	22	1001	1	0	
M	22	1002	4	0	
M	23	1002	3	0	
M	24	1002	3	1	
M	25	1002	3	2	
M	29	1002	3	6	
M	30	1002	3	7	
M	32	1002	5	7	
M	33	1002	6	7	
M	34	1001	2	0	
M	35	1001	3	0	
M	36	1002	7	7	
M	43	1002	7	0	
M	44	1001	3	1	
M	44	1002	6	0	
M	45	1001	3	2	
M	49	1001	3	6	
M	50	1001	3	7	
M	52	1001	1	7	
M	53	1001	0	7	
M	60	1001	0	0	
M	61	1002	5	0	
M	62	1001	1	0	
M	62	1002	4	0	
M	63	1002	3	0	
M	64	1002	3	1	
M	65	1002	3	2	
M	69	1002	3	6	
M	70	1002	3	7	
E	1	1002	7	0	{"passed":1}
E	1	3001	3	6	{"denominator":-1}
E	2	1001	0	0	{"passed":1}
E	3	9036	2	0	{"value":0}
E	4	9036	2	0	{"passed":1}
E	5	4001	3	0	{"passed":1}
E	6	2001	3	1	{"picked":1}
E	6	2001	3	1	{"passed":1}
E	6	1001	3	1	{"payload":[2001]}
E	11	3001	3	6	{"delivered":1}
E	11	3001	3	6	{"passed":1}
E	11	1001	3	6	{"payload":[]}
E	11	1001	3	6	{"delivered":1}
D	11	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	13	4002	3	7	{"passed":1}
E	14	9035	1	7	{"passed":1}
E	14	9033	5	0	{"value":1}
E	21	9033	5	0	{"value":0}
E	22	9033	5	0	{"passed":1}
E	22	1001	0	0	{"passed":2}
E	24	4001	3	0	{"passed":2}
E	25	2001	3	1	{"picked":2}
E	25	2001	3	1	{"passed":2}
E	25	1002	3	1	{"payload":[2001]}
E	30	3001	3	6	{"delivered":2}
E	30	3001	3	6	{"passed":2}
E	30	1002	3	6	{"payload":[]}
E	30	1002	3	6	{"delivered":1}
D	30	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	32	4002	3	7	{"passed":2}
E	33	9037	5	7	{"passed":1}
E	33	9036	2	0	{"value":1}
E	34	9036	2	0	{"value":0}
E	35	9036	2	0	{"passed":2}
E	44	1002	7	0	{"passed":2}
E	44	4001	3	0	{"passed":3}
E	45	2001	3	1	{"picked":3}
E	45	2001	3	1	{"passed":3}
E	45	1001	3	1	{"payload":[2001]}
E	50	3001	3	6	{"delivered":3}
E	50	3001	3	6	{"passed":3}
E	50	1001	3	6	{"payload":[]}
E	50	1001	3	6	{"delivered":2}
D	50	1001	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	50	0	0	0	{"goals_completed":1}
E	52	4002	3	7	{"passed":3}
E	53	9035	1	7	{"passed":2}
E	53	9033	5	0	{"value":1}
E	61	9033	5	0	{"value":0}
E	62	9033	5	0	{"passed":2}
E	62	1001	0	0	{"passed":3}
E	64	4001	3	0	{"passed":4}
E	65	2001	3	1	{"picked":4}
E	65	2001	3	1	{"passed":4}
E	65	1002	3	1	{"payload":[2001]}
E	70	3001	3	6	{"delivered":4}
E	70	3001	3	6	{"passed":4}
E	70	1002	3	6	{"payload":[]}
E	70	1002	3	6	{"delivered":2}
D	70	1002	3	6	{"missed_items":[],"delivered_to":3001,"delivered_items":[2001]}
E	70	0	0	0	{"goals_completed":2}
E	70	0	0	0	{"final_condition":10}

PLAYER

